USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  22180 13116 ?        Ss   12:52   0:00 /sbin/init
root           2  0.0  0.0      0     0 ?        S    12:52   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    12:52   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   12:52   0:00 [kworker/R-rcu_g]
root           5  0.0  0.0      0     0 ?        I<   12:52   0:00 [kworker/R-rcu_p]
root           6  0.0  0.0      0     0 ?        I<   12:52   0:00 [kworker/R-slub_]
root           7  0.0  0.0      0     0 ?        I<   12:52   0:00 [kworker/R-netns]
root           8  0.0  0.0      0     0 ?        I    12:52   0:00 [kworker/0:0-mm_percpu_wq]
root          10  0.0  0.0      0     0 ?        I<   12:52   0:00 [kworker/0:0H-events_highpri]
root          11  0.0  0.0      0     0 ?        I    12:52   0:00 [kworker/u64:0-events_unbound]
root          12  0.0  0.0      0     0 ?        I    12:52   0:00 [kworker/u64:1-ext4-rsv-conversion]
root          13  0.0  0.0      0     0 ?        I<   12:52   0:00 [kworker/R-mm_pe]
root          14  0.0  0.0      0     0 ?        I    12:52   0:00 [rcu_tasks_kthread]
root          15  0.0  0.0      0     0 ?        I    12:52   0:00 [rcu_tasks_rude_kthread]
root          16  0.0  0.0      0     0 ?        I    12:52   0:00 [rcu_tasks_trace_kthread]
root          17  0.0  0.0      0     0 ?        S    12:52   0:00 [ksoftirqd/0]
root          18  0.0  0.0      0     0 ?        I    12:52   0:00 [rcu_preempt]
root          19  0.0  0.0      0     0 ?        S    12:52   0:00 [rcub/1]
root          20  0.0  0.0      0     0 ?        S    12:52   0:00 [migration/0]
root          21  0.0  0.0      0     0 ?        S    12:52   0:00 [idle_inject/0]
root          22  0.0  0.0      0     0 ?        S    12:52   0:00 [cpuhp/0]
root          23  0.0  0.0      0     0 ?        S    12:52   0:00 [cpuhp/1]
root          24  0.0  0.0      0     0 ?        S    12:52   0:00 [idle_inject/1]
root          25  0.0  0.0      0     0 ?        S    12:52   0:00 [migration/1]
root          26  0.0  0.0      0     0 ?        S    12:52   0:00 [ksoftirqd/1]
root          27  0.0  0.0      0     0 ?        I    12:52   0:00 [kworker/1:0-mm_percpu_wq]
root          28  0.0  0.0      0     0 ?        I<   12:52   0:00 [kworker/1:0H-events_highpri]
root          29  0.0  0.0      0     0 ?        S    12:52   0:00 [cpuhp/2]
root          30  0.0  0.0      0     0 ?        S    12:52   0:00 [idle_inject/2]
root          31  0.0  0.0      0     0 ?        S    12:52   0:00 [migration/2]
root          32  0.0  0.0      0     0 ?        S    12:52   0:00 [ksoftirqd/2]
root          34  0.0  0.0      0     0 ?        I<   12:52   0:00 [kworker/2:0H-events_highpri]
root          35  0.0  0.0      0     0 ?        S    12:52   0:00 [cpuhp/3]
root          36  0.0  0.0      0     0 ?        S    12:52   0:00 [idle_inject/3]
root          37  0.0  0.0      0     0 ?        S    12:52   0:00 [migration/3]
root          38  0.0  0.0      0     0 ?        S    12:52   0:00 [ksoftirqd/3]
root          39  0.0  0.0      0     0 ?        I    12:52   0:00 [kworker/3:0-rcu_gp]
